"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"project-Final.nlogox"
"experiment"
"01/26/2026 14:32:15:586 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","initial-distribution","exposureChance","population","[step]","count turtles","violenceLevel","peopleLeavePlatform","hateSpeechSpread","mean [opinion] of turtles","mean [radicalization] of turtles","mean [trust-in-platform] of turtles"
"186","Moderate Majority","0.6","500","20000","491","82.07739307535643","9","1837346","0.6913524096470064","0.822146995144893","0.9012932790224035"
"188","Moderate Majority","0.6","500","20000","466","83.69098712446352","34","1704936","0.3330795734873346","0.8378671463523802","0.893487124463519"
"189","Moderate Majority","0.6","500","20000","483","82.6086956521739","17","1789504","0.6808460683507827","0.8271324259925514","0.9062732919254661"
"190","Moderate Majority","0.6","500","20000","490","82.0408163265306","10","1806976","0.3160320803384392","0.8216697306388618","0.9032040816326531"
"191","Moderate Majority","0.6","500","20000","496","83.66935483870968","4","1957185","0.2833299739243011","0.8385639731198544","0.9227217741935486"
"201","Moderate Majority","0.8","500","20000","242","100","258","859407","0.5289256198347108","1","1"
"192","Moderate Majority","0.6","500","20000","476","84.87394957983193","24","1864841","0.6969077467433858","0.8502508413867074","0.9111554621848744"
"193","Moderate Majority","0.6","500","20000","495","82.82828282828282","5","1917430","0.2965489721575948","0.8297845807895035","0.907909090909091"
"194","Moderate Majority","0.6","500","20000","480","82.70833333333333","20","1739983","0.6733884425170114","0.8281750576485264","0.8993437499999998"
"195","Moderate Majority","0.6","500","20000","497","84.90945674044266","3","1982339","0.2711242100957966","0.8505312537626963","0.9393762575452714"
"196","Moderate Majority","0.6","500","20000","493","83.56997971602435","7","1907387","0.7062867945579507","0.8371279941557965","0.9130425963488844"
"197","Moderate Majority","0.6","500","20000","498","81.92771084337349","2","1904901","0.7003761501950357","0.8205863024676825","0.9238554216867467"
"200","Moderate Majority","0.6","500","20000","492","78.04878048780488","8","1686130","0.34622144967080465","0.7830989825778343","0.874319105691057"
"199","Moderate Majority","0.6","500","20000","489","80.57259713701431","11","1748565","0.3315778967504208","0.8072114680471988","0.8963292433537831"
"198","Moderate Majority","0.6","500","20000","480","83.125","20","1787294","0.6824677901051948","0.8324341351899679","0.9052604166666668"
"203","Moderate Majority","0.8","500","20000","343","97.667638483965","157","1458585","0.6882207205636047","0.9767483294851689","0.9792857142857144"
"202","Moderate Majority","0.8","500","20000","369","97.5609756097561","131","1653899","0.7199125845327654","0.9756858442417906","0.9787127371273711"
"204","Moderate Majority","0.8","500","20000","383","96.8668407310705","117","1740319","0.2658106537796607","0.9687634219888341","0.9736292428198431"
"209","Moderate Majority","0.8","500","20000","243","100","257","872007","0.4609053497942387","1","1"
"205","Moderate Majority","0.8","500","20000","329","98.48024316109422","171","1383449","0.67066347262842","0.9848577406885155","0.985775075987842"
"211","Moderate Majority","0.8","500","20000","242","100","258","864427","0.5330578512396694","1","1"
"207","Moderate Majority","0.8","500","20000","387","89.40568475452196","113","1560960","0.6883104169579162","0.8945178211750171","0.9167054263565894"
"215","Moderate Majority","0.8","500","20000","257","100","243","893771","0.5252918287937743","1","1"
"206","Moderate Majority","0.8","500","20000","389","96.65809768637533","111","1760275","0.2630918476840769","0.9666759872405586","0.9719537275064267"
"208","Moderate Majority","0.8","500","20000","385","96.1038961038961","115","1725100","0.7290107814220615","0.9611496210847289","0.9644025974025975"
"218","Moderate Majority","0.8","500","20000","242","100","258","886543","0.45041322314049587","1","1"
"222","Moderate Majority","0.8","500","20000","255","100","245","907965","0.45098039215686275","1","1"
"210","Moderate Majority","0.8","500","20000","349","98.8538681948424","151","1544931","0.2977536610779676","0.9885840432421794","0.9905587392550143"
"212","Moderate Majority","0.8","500","20000","335","99.70149253731343","165","1425188","0.6881383445811089","0.9970232129185437","0.9972388059701492"
"213","Moderate Majority","0.8","500","20000","356","99.71910112359551","144","1616050","0.28503723416201376","0.9971990480413374","0.9972050561797753"
"217","Moderate Majority","0.8","500","20000","347","98.27089337175792","153","1485877","0.6951236520680836","0.9827939876912123","0.9840922190201729"
"220","Moderate Majority","0.8","500","20000","336","99.70238095238095","164","1455946","0.3109334103691238","0.9970320904046837","0.9971577380952381"
"216","Moderate Majority","0.8","500","20000","398","97.23618090452261","102","1884122","0.7606454972123696","0.972459482288724","0.9766206030150754"
